date,country,D,H,I,M,S
2021-10-11,Afghanistan,0,0,0,40,0
2021-10-11,Sweden,4,0,0,6,0
2021-10-11,Japan,26,0,0,98,0
2021-10-12,Afghanistan,0,0,0,40,0
2021-10-12,Sweden,4,0,0,6,0
2021-10-12,Japan,26,0,0,98,0
2021-10-13,Afghanistan,0,0,0,40,0
2021-10-13,Sweden,4,0,0,6,0
2021-10-13,Japan,26,0,0,98,0
2021-10-14,Afghanistan,0,0,0,40,0
2021-10-14,Sweden,4,0,0,6,0
2021-10-14,Japan,26,0,0,98,0
2021-10-15,Afghanistan,0,0,0,40,0
2021-10-15,Sweden,4,0,0,6,0
2021-10-15,Japan,26,0,0,98,0
2021-10-16,Afghanistan,0,0,0,40,0
2021-10-16,Sweden,4,0,0,6,0
2021-10-16,Japan,26,0,0,98,0
2021-10-17,Afghanistan,0,0,0,40,0
2021-10-17,Sweden,4,0,0,6,0
2021-10-17,Japan,26,0,0,98,0
2021-10-18,Afghanistan,0,0,0,40,0
2021-10-18,Sweden,4,0,0,6,0
2021-10-18,Japan,26,0,0,98,0
2021-10-19,Afghanistan,0,0,0,40,0
2021-10-19,Sweden,4,0,0,6,0
2021-10-19,Japan,26,0,0,98,0
2021-10-20,Afghanistan,0,0,0,40,0
2021-10-20,Sweden,4,0,0,6,0
2021-10-20,Japan,26,0,0,98,0
2021-10-21,Afghanistan,0,0,0,40,0
2021-10-21,Sweden,4,0,0,6,0
2021-10-21,Japan,26,0,0,98,0
2021-10-22,Afghanistan,0,0,0,40,0
2021-10-22,Sweden,4,0,0,6,0
2021-10-22,Japan,26,0,0,98,0
2021-10-23,Afghanistan,0,0,0,40,0
2021-10-23,Sweden,4,0,0,6,0
2021-10-23,Japan,26,0,0,98,0
2021-10-24,Afghanistan,0,0,0,40,0
2021-10-24,Sweden,4,0,0,6,0
2021-10-24,Japan,26,0,0,98,0
